id,protocol,repo,provenance,evidence,tier,questions,coverage_real,coverage_paraphrase,coverage_synthetic,rubric_mean_real,rubric_mean_paraphrase,rubric_mean_synthetic,record_chars,synthetic_chars,changed_lines,language
apache_airflow__54731,independent,apache/airflow,human,none,substantive,3,0,0,1,0,0,2,152,934,,
apache_airflow__55090,independent,apache/airflow,human,none,substantive,3,0,0,0,0,0,0.3333,234,510,,
apache_airflow__55114,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,49,1458,,
apache_airflow__55118,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,34,1232,,
apache_airflow__55486,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0,1.3333,60,1169,,
apache_airflow__55499,independent,apache/airflow,human,none,substantive,3,0,0.333333,0.333333,0.3333,1.3333,1.3333,402,1028,,
apache_airflow__55972,independent,apache/airflow,human,none,empty,3,0,0,0,0,0,0.6667,68,1711,,
apache_airflow__56007,independent,apache/airflow,human,none,trivial,3,0,0,0,0,0,0.3333,208,999,,
apache_airflow__56077,independent,apache/airflow,human,none,trivial,3,0.333333,0.666667,0.666667,0.6667,1.3333,1.6667,135,838,,
apache_airflow__56608,independent,apache/airflow,human,none,substantive,3,0,0,0.666667,0,0,1.3333,182,714,,
apache_airflow__56692,independent,apache/airflow,human,none,empty,3,0,0,1,0.3333,0.6667,2,58,1074,,
apache_airflow__56695,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0.666667,0.6667,0.6667,1.6667,484,1092,,
apache_airflow__56936,independent,apache/airflow,human,none,substantive,3,0,0.666667,0.333333,0.6667,1.3333,1.3333,1018,1493,,
apache_airflow__57010,independent,apache/airflow,human,none,substantive,3,0,0.333333,1,0.6667,1,2,294,1255,,
apache_airflow__57103,independent,apache/airflow,human,none,trivial,3,0,0,0.333333,0,0,1,171,1163,,
apache_airflow__57228,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0.3333,1.3333,37,554,,
apache_airflow__57667,independent,apache/airflow,agent,agent-trailer,substantive,3,0.333333,0.333333,0.333333,0.6667,0.6667,1,750,468,,
apache_airflow__57741,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.666667,0.6667,0,1.3333,907,1415,,
apache_airflow__58292,independent,apache/airflow,human,none,substantive,3,0,0,0.333333,0.3333,0,1.3333,1144,935,,
apache_airflow__58733,independent,apache/airflow,human,none,empty,4,0.25,0,0.5,1.25,1,1.25,74,921,,
apache_airflow__58838,independent,apache/airflow,agent,agent-trailer,trivial,3,0,0,0.666667,0.3333,0,1.6667,164,848,,
apache_airflow__58888,independent,apache/airflow,human,none,trivial,3,0,0,0.333333,0,0,1.3333,193,1426,,
apache_airflow__59507,independent,apache/airflow,human,none,substantive,3,1,1,1,2,2,2,1524,831,,
apache_airflow__59804,independent,apache/airflow,human,none,empty,4,0,0,1,0,0,2,44,1210,,
apache_airflow__59805,independent,apache/airflow,agent,agent-trailer,substantive,4,0.75,0.75,0.5,1.75,1.5,1.25,2657,2098,,
apache_airflow__60146,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,67,1107,,
apache_airflow__60440,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.666667,0.3333,0.3333,1.6667,419,1430,,
apache_airflow__60545,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0.666667,1,1.3333,1.3333,277,1191,,
apache_airflow__60633,independent,apache/airflow,human,none,empty,3,0,0,0,0,0,0,51,972,,
apache_airflow__60647,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,0.6667,71,901,,
apache_airflow__60676,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0.3333,1.3333,66,864,,
apache_airflow__60735,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,45,940,,
apache_airflow__61560,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,0.666667,2,2,1.6667,697,791,,
apache_airflow__61706,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1,50,695,,
apache_airflow__61854,independent,apache/airflow,agent,agent-trailer,substantive,3,1,0.666667,0.666667,2,1.6667,1.6667,747,1108,,
apache_airflow__61861,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1.3333,51,1045,,
apache_airflow__62401,independent,apache/airflow,human,none,substantive,3,0,0,1,0.6667,0.3333,2,375,1849,,
apache_airflow__62509,independent,apache/airflow,human,none,empty,3,0,0,1,1,1,2,55,1620,,
apache_airflow__62570,independent,apache/airflow,agent,agent-trailer,substantive,3,0.333333,0.666667,0.666667,1.3333,1.6667,1.3333,648,1144,,
apache_airflow__62580,independent,apache/airflow,agent,agent-trailer,substantive,3,0.333333,0.333333,0.666667,1,1,1.6667,679,1210,,
apache_airflow__62627,independent,apache/airflow,human,none,empty,4,0,0,0,0,0,0.75,63,911,,
apache_airflow__62657,independent,apache/airflow,agent,agent-trailer,substantive,3,0.333333,0.333333,0.666667,0.6667,0.6667,1.3333,1072,1539,,
apache_airflow__62662,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.333333,0.666667,1.3333,1,1.6667,633,692,,
apache_airflow__62665,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,1,1.3333,1.3333,2,753,813,,
apache_airflow__62682,independent,apache/airflow,agent,agent-trailer,substantive,4,0,0,0,0,0,0.5,1169,1718,,
apache_airflow__62702,independent,apache/airflow,agent,agent-trailer,trivial,3,0,0,0.666667,0,0,1.3333,91,1294,,
apache_airflow__62723,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,0.333333,2,2,0.6667,584,896,,
apache_airflow__62737,independent,apache/airflow,human,none,substantive,3,0,0,1,1,1,2,575,1022,,
apache_airflow__62742,independent,apache/airflow,agent,agent-trailer,empty,3,0,0,0.666667,0,0,1.6667,79,744,,
apache_airflow__62755,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0.3333,0.3333,1.3333,548,1141,,
apache_airflow__62820,independent,apache/airflow,agent,agent-trailer,empty,4,0.25,0,0,1,0.5,0.5,73,1766,,
apache_airflow__62831,independent,apache/airflow,agent,agent-trailer,substantive,4,0.75,0.5,0.75,1.75,1.25,1.75,1089,1196,,
apache_airflow__62835,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0.333333,0.333333,0.6667,1,1,753,798,,
apache_airflow__62907,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0.6667,0.3333,1.3333,299,1056,,
apache_airflow__62983,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,1,1.6667,1.6667,2,1206,1448,,
apache_airflow__63016,independent,apache/airflow,human,none,trivial,4,0,0,0,0,0,0.75,115,1072,,
apache_airflow__63048,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,1,1.3333,1.3333,2,589,721,,
apache_airflow__63210,independent,apache/airflow,human,none,substantive,3,0,0,1,0,0,2,219,847,,
apache_airflow__63300,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0.3333,0,1.3333,930,1440,,
apache_airflow__63315,independent,apache/airflow,agent,agent-trailer,substantive,4,0.25,0,0.75,0.75,0,1.75,509,1522,,
apache_airflow__63317,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,0.666667,1.6667,1.6667,1.3333,329,1081,,
apache_airflow__63319,independent,apache/airflow,agent,agent-trailer,substantive,3,0.333333,0.666667,1,1,1.3333,2,531,1870,,
apache_airflow__63320,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,0.666667,1.3333,1.3333,1.3333,285,811,,
apache_airflow__63347,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0.3333,0.3333,0.6667,435,1610,,
apache_airflow__63387,independent,apache/airflow,human,none,trivial,3,0,0,1,0,0,2,75,982,,
apache_airflow__63422,independent,apache/airflow,agent,agent-trailer,empty,4,0,0,0.75,0,0,1.5,71,1361,,
apache_airflow__63440,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.333333,1,1.3333,1,2,1531,2118,,
apache_airflow__63475,independent,apache/airflow,agent,agent-trailer,empty,3,0.333333,0,1,0.6667,0.3333,2,102,1575,,
apache_airflow__63476,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,1,0.666667,1.6667,2,1.6667,776,1047,,
apache_airflow__63520,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,1,0,1.3333,2,0.6667,5168,1453,,
apache_airflow__63531,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0.3333,0.3333,0.6667,52,799,,
apache_airflow__63561,independent,apache/airflow,agent,agent-trailer,substantive,4,0,0,0,0,0,0,967,1679,,
apache_airflow__63598,independent,apache/airflow,agent,agent-trailer,substantive,4,0.25,0.25,0.25,0.5,0.5,0.5,1656,2383,,
apache_airflow__63606,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,359,905,,
apache_airflow__63901,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0.333333,0.666667,0.3333,0.6667,1.3333,747,1431,,
apache_airflow__64164,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.666667,0.3333,0,1.6667,323,614,,
apache_airflow__64189,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.666667,1,0.6667,1.6667,961,942,,
apache_airflow__64246,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0.3333,0,1.3333,119,644,,
apache_airflow__64285,independent,apache/airflow,human,none,substantive,3,0.666667,0.666667,1,1.3333,1.3333,2,706,1068,,
apache_airflow__64384,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.333333,1,1.6667,1.3333,2,540,970,,
apache_airflow__64425,independent,apache/airflow,human,none,empty,3,0,0,0,0,0,0,66,1226,,
apache_airflow__64471,independent,apache/airflow,human,none,trivial,3,0,0,1,0.3333,0,2,161,1122,,
apache_airflow__64725,independent,apache/airflow,human,none,substantive,4,0.5,0.5,0.5,1,1,1.5,505,1648,,
apache_airflow__64804,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.333333,0.666667,1.3333,1.3333,1.3333,670,901,,
apache_airflow__64994,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0,0.3333,1.3333,525,1066,,
apache_airflow__65161,independent,apache/airflow,human,none,substantive,3,0,0,1,0.3333,0.6667,2,276,828,,
apache_airflow__65422,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,1354,837,,
apache_airflow__65493,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,47,1300,,
apache_airflow__65550,independent,apache/airflow,human,none,substantive,3,0.333333,0,0.666667,1.3333,0.6667,1.6667,543,1190,,
apache_airflow__65690,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0,1.6667,56,1281,,
apache_airflow__65852,independent,apache/airflow,agent,agent-trailer,substantive,3,0.333333,0.666667,0.666667,1,1.6667,1.3333,798,1209,,
apache_airflow__66013,independent,apache/airflow,agent,agent-trailer,substantive,4,0,0.25,0.25,0.5,1,1,2205,1519,,
apache_airflow__66186,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1.3333,49,1035,,
apache_airflow__66198,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,1118,1088,,
apache_airflow__66433,independent,apache/airflow,agent,agent-trailer,substantive,3,1,0.333333,0.333333,2,1.3333,1.3333,1315,970,,
apache_airflow__66571,independent,apache/airflow,human,none,substantive,4,0.75,0.75,0.5,1.5,1.5,1.25,1335,980,,
apache_airflow__66699,independent,apache/airflow,human,none,empty,3,0,0,0,0,0,0.6667,73,1627,,
apache_airflow__66808,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0.666667,0.6667,0.6667,1.3333,456,781,,
apache_airflow__67065,independent,apache/airflow,human,none,substantive,3,1,1,0.666667,2,2,1.3333,1127,1495,,
apache_airflow__67076,independent,apache/airflow,agent,agent-trailer,substantive,4,1,0.75,1,2,1.75,2,774,1396,,
apache_airflow__67112,independent,apache/airflow,human,none,substantive,3,0.666667,0.666667,0.666667,1.6667,1.6667,1.3333,532,1295,,
apache_airflow__67214,independent,apache/airflow,human,none,empty,3,0,0,0,0,0,0.3333,65,1495,,
apache_airflow__67229,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,1246,1435,,
apache_airflow__67237,independent,apache/airflow,human,none,trivial,3,0,0,1,0,0.3333,2,202,946,,
apache_airflow__67242,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0.333333,0.6667,0.6667,1.3333,1195,1448,,
apache_airflow__67297,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,0.666667,1.3333,1.3333,1.6667,782,979,,
apache_airflow__67317,independent,apache/airflow,human,none,substantive,3,0.666667,0.666667,0.666667,1.6667,1.6667,1.6667,4843,1521,,
apache_airflow__67333,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,4664,1821,,
apache_airflow__67389,independent,apache/airflow,human,none,substantive,3,0.333333,0.666667,0,0.6667,1.3333,1,1414,1241,,
apache_airflow__67662,independent,apache/airflow,agent,agent-trailer,substantive,3,1,0.666667,1,2,1.6667,2,1247,1414,,
apache_airflow__67667,independent,apache/airflow,human,none,substantive,3,1,1,1,2,2,2,859,1385,,
apache_airflow__67681,independent,apache/airflow,human,none,trivial,3,0,0,0,0,0,0,93,683,,
apache_airflow__68049,independent,apache/airflow,human,none,substantive,4,0.75,0.5,1,1.5,1.25,2,535,1216,,
apache_airflow__68059,independent,apache/airflow,agent,agent-trailer,substantive,4,0.5,0.75,0.5,1,1.5,1,808,1293,,
apache_airflow__68109,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,0.333333,1.3333,1.3333,1.3333,529,1040,,
apache_airflow__68133,independent,apache/airflow,human,none,empty,4,0,0,0.75,0,0.25,1.5,56,1679,,
apache_airflow__68283,independent,apache/airflow,human,none,substantive,4,0.25,0,0,0.75,0.5,0.75,468,1435,,
apache_airflow__68336,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,818,1334,,
apache_airflow__68368,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,0.666667,2,2,1.6667,827,1467,,
apache_airflow__68385,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0,0,0,0,275,1143,,
apache_airflow__68492,independent,apache/airflow,human,none,substantive,3,0.666667,0.666667,0.333333,1.3333,1.3333,1.3333,1218,1443,,
apache_airflow__68497,independent,apache/airflow,agent,agent-trailer,trivial,3,0,0,0.666667,0.6667,1,1.3333,179,1652,,
apache_airflow__68506,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,1,1.3333,1.3333,2,438,1218,,
apache_airflow__68591,independent,apache/airflow,agent,agent-trailer,substantive,3,1,1,1,2,2,2,3400,2035,,
apache_airflow__68616,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0,0,1,483,1255,,
apache_airflow__68671,independent,apache/airflow,human,none,trivial,3,0,0,1,0,0,2,114,1875,,
apache_airflow__68702,independent,apache/airflow,human,none,substantive,4,0.5,0.25,0.25,1.25,0.75,1,3892,1633,,
apache_airflow__68743,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0,0,0,0,536,1261,,
apache_airflow__68882,independent,apache/airflow,agent,agent-trailer,substantive,3,0.666667,0.666667,0.333333,1.6667,1.3333,1.3333,1734,1571,,
apache_airflow__68916,independent,apache/airflow,human,none,substantive,4,0.75,0.5,1,1.5,1.25,2,875,1235,,
apache_airflow__69283,independent,apache/airflow,agent,agent-trailer,substantive,3,1,0.666667,1,2,1.3333,2,1330,1601,,
apache_airflow__69307,independent,apache/airflow,human,none,substantive,3,1,0.666667,0.666667,2,1.6667,1.6667,1386,1045,,
apache_airflow__69328,independent,apache/airflow,human,none,substantive,3,0.333333,0,0.333333,0.6667,0.3333,1,645,1262,,
apache_airflow__69772,independent,apache/airflow,agent,agent-trailer,substantive,4,0,0,0,0.25,0.25,1,643,1401,,
apache_airflow__69780,independent,apache/airflow,agent,agent-trailer,substantive,3,1,0.666667,0.333333,2,1.3333,1,1077,925,,
apache_airflow__69830,independent,apache/airflow,agent,agent-trailer,trivial,3,0,0,1,0.3333,0.6667,2,155,1099,,
apache_airflow__70007,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0.333333,0.666667,0.6667,0.6667,1.3333,56283,1570,,
apache_airflow__70432,independent,apache/airflow,human,none,empty,3,0,0,1,0.3333,0,2,78,1010,,
apache_airflow__70650,independent,apache/airflow,human,none,substantive,3,1,0.666667,0.666667,2,1.3333,1.3333,976,2076,,
grafana_grafana__100478,independent,grafana/grafana,human,none,empty,3,0,0,0.666667,1,1,1.6667,59,850,,
grafana_grafana__100884,independent,grafana/grafana,human,none,substantive,3,0.333333,0.333333,0,1,1,0.6667,3380,2106,,
grafana_grafana__101180,independent,grafana/grafana,human,none,substantive,4,0.5,0.25,0.25,1.25,0.75,0.75,1182,1667,,
grafana_grafana__101215,independent,grafana/grafana,human,none,substantive,3,0,0,0.333333,0,0,1,188,790,,
grafana_grafana__101428,independent,grafana/grafana,human,none,trivial,4,0.25,0.25,0.5,0.75,0.75,1.5,172,868,,
grafana_grafana__101449,independent,grafana/grafana,human,none,substantive,3,0,0,0.666667,0.6667,0.6667,1.3333,250,1905,,
grafana_grafana__101504,independent,grafana/grafana,human,none,trivial,3,0,0,1,0.6667,1,2,140,564,,
grafana_grafana__101703,independent,grafana/grafana,human,none,substantive,3,0,0,0,0.3333,0.3333,0.6667,396,1223,,
grafana_grafana__101753,independent,grafana/grafana,human,none,empty,3,0,0,0.666667,0,0,1.6667,77,1591,,
grafana_grafana__101860,independent,grafana/grafana,human,none,trivial,3,0,0,1,0.3333,0,2,99,1445,,
grafana_grafana__102232,independent,grafana/grafana,human,none,substantive,3,0.333333,0.333333,0.333333,1.3333,0.6667,1.3333,307,820,,
grafana_grafana__102233,independent,grafana/grafana,human,none,empty,3,0,0,0.666667,0,0,1.6667,31,1639,,
grafana_grafana__102325,independent,grafana/grafana,human,none,substantive,3,1,0.666667,0.666667,2,1.3333,1.6667,1186,908,,
grafana_grafana__102331,independent,grafana/grafana,human,none,empty,3,0,0,1,0,0,2,72,1149,,
grafana_grafana__102359,independent,grafana/grafana,human,none,substantive,4,0.25,0.5,0.25,0.75,1.25,1,2324,1919,,
grafana_grafana__102444,independent,grafana/grafana,human,none,empty,3,0,0,0,0,0,0.6667,39,1273,,
grafana_grafana__102556,independent,grafana/grafana,human,none,substantive,3,0,0,0.666667,0.3333,0.3333,1.6667,149,1749,,
grafana_grafana__102571,independent,grafana/grafana,human,none,substantive,3,0.333333,0,1,1.3333,1,2,458,1535,,
grafana_grafana__102905,independent,grafana/grafana,human,none,substantive,3,0,0,0.666667,1,0.6667,1.6667,208,1573,,
grafana_grafana__103173,independent,grafana/grafana,human,none,trivial,3,0,0,0.333333,0,0,0.6667,98,714,,
